	1713
biscuit	1
bish	1
bish.can	2
bish.cant	7
bish.ely	6
bishop	9
bishops	6
bisson	1
bit	5
bitch	1
bite	21
bites	6
biting	3
bitt	1
bitt'rest	1
bitter	37
bitterly	5
bitterness	4
bitternesse	2
blab	1
blabs	1
black	62
black-brow'd	1
black-fac'd	1
black-heath	1
blacke	23
blacker	2
blackest	2
blacknesse	1
blackstone	1
bladders	1
blade	8
bladed	2
blades	2
blam'd	2
blame	48
blamed	2
blameful	1
blamefull	1
blamelesse	1
blames	1
blanca	1
blanch	1
blanch'd	1
blank	5
blanke	2
blanket	4
blanks	3
blaspheme	1
blaspheming	1
blasphemous	1
blasphemy	1
blast	7
blasted	4
blasting	1
blastments	1
blasts	5
blaze	3
blazes	1
blazon	5
blazoning	1
bleak	2
blear'd	1
bleared	1
bleat	1
bleate	1
bleates	1
bled	1
bleed	17
bleed'st	1
bleede	3
bleeding	13
bleeds	4
blemish	3
blemish'd	2
blench	1
blenches	1
blent	2
bles'd	2
bless	25
bless'd	11
blesse	21
blessed	33
blessed-fair	1
blessedly	2
blessednesse	1
blesses	1
blesseth	1
blessing	25
blessings	6
blest	14
blew	2
blewish	1
blind	30
blinde	15
blinde-wormes	1
blinding	1
blindly	1
blindman	1
blindness	1
blindnesse	1
blinke	1
blinking	1
bliss	5
blisse	6
blister	2
blister'd	1
blisters	2
blithe	1
blithild	1
bloat	1
block	6
blocke	1
blockes	1
blocks	1
blood	229
blood-bolter'd	1
blood-suckers	1
blood.--list	1
bloodie	4
bloodier	1
bloodily	3
bloodless	2
bloods	4
bloody	106
bloody-hunting	1
bloome	1
blooms	1
blossom	2
blossome	3
blossoms	1
blot	8
blots	4
blotted	2
bloud	20
bloudy	2
blount	1
blow	35
blow'd	1
blowed	1
blowes	6
blowing	2
blown	5
blowne	6
blows	14
blubb'ring	1
blubbering	1
blue	6
blue-eyed	1
blue:--shall	1
blunt	23
blunted	1
blunter	1
blunting	1
bluntly	2
bluntness	1
blurs	1
blush	15
blush'd	2
blushes	3
blushing	5
blythe	1
bo-peep	1
boad	1
boade	1
boading	1
boadments	1
boar	11
boar's	1
boar-spear	1
board	7
boarded	3
boare	1
boarish	1
boast	13
boasted	1
boastfull	1
boasting	2
boasts	1
boat	6
boate	1
boats	12
boatswain	14
bob	2
bob'd	1
bobb'd	1
bobtail	1
bode	2
boded	1
bodes	4
bodie	5
bodies	19
bodies.--such	1
bodikin	1
bodiless	1
bodily	1
bodkin	1
body	104
body's	8
bodyes	4
bog	1
bogge	1
boggs	1
bogs	1
boil	2
boile	1
boiled	1
boiling	1
boil’d	2
boist'rous	3
boisterous	2
bold	56
bolden'd	1
bolder	1
boldest	2
boldly	3
boldness	5
bolds	1
bole	1
bolster	1
bolt	5
bolt-sprit	1
bolts	1
bombard	1
bon	7
bona	1
bond	55
bond-man	2
bond-mans	1
bond-slaues	1
bond-slave	1
bondage	8
bondmaid	1
bondman	3
bondmen	2
bonds	7
bone	3
bonelesse	1
bones	39
bonfire	1
bonfires	1
bonnet	4
bonnie	1
bonny	5
bonos	1
book	33
booke	12
bookes	4
bookish	1
books	18
boon	3
boone	1
boord	2
boorded	1
boords	1
boorish	1
boot	8
boot-hose	1
boote	1
booted	1
bootelesse	1
bootless	4
bootlesse	5
boots	5
bor	35
bor'st	1
bora	2
borachio	10
bord	1
bordered	1
borderers	1
bore	16
bore-sprit	1
born	35
born,--he	1
born,--it	1
borne	54
borough	1
borrow	7
borrow'd	2
borrowed	8
borrower	2
borrowes	1
borrowing	1
bosky	1
bosom	35
bosom'd	1
bosom's	3
bosome	22
bosomes	12
bosoms	3
bosoms-this	1
boson	1
boss'd	1
bosworth	2
bot	35
botch	2
botch'd	1
botcher	1
botches	1
both	264
bots	1
bottle	19
bottle-ale	1
bottle-bearer	1
bottled	2
bottles	2
bottom	11
bottome	19
bottomes	3
bottomless	1
bouchiquald	1
bouciquall	1
boue	1
bouge	4
bough	4
boughes	1
